VesselID,VesselType,Lpp_m,Beam_m,Draft_m,Depth_m,Displacement_t,CB,CP,CM,CW,ServiceSpeed_ms,DWT_t,EngineType,YearBuilt,Source,DataQuality,HullGeometryFile,ResistanceCurve
TAN_0098,Tanker,149.19,64.04,16.03,30.78,103929.4,0.754,0.765,0.942,0.89,5.203,104888.0,Hybrid,1979,Open dataset,Measured,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4365034, 4884681, 5404328, 5923975, 6443622, 6963269, 7482916]}"
RO-_0099,RO-RO,106.68,21.76,6.51,8.48,8405.3,0.618,0.671,0.919,0.635,9.996,36610.0,Electric,1971,MARIN paper,Measured,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [353022, 395049, 437075, 479102, 521128, 563155, 605181]}"
TAN_0100,Tanker,209.91,20.08,14.0,24.27,27882.2,0.525,0.562,0.929,0.715,8.087,249396.0,Hybrid,2020,MARIN paper,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1171052, 1310463, 1449874, 1589285, 1728696, 1868107, 2007518]}"
OFF_0101,Offshore supply,53.05,17.42,4.49,8.74,2214.5,0.593,0.552,0.886,0.81,5.464,3575.0,Gas Turbine,2018,DSYHS (Delft),Model tests,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [93009, 104081, 115153, 126226, 137298, 148371, 159444]}"
FIS_0102,Fishing,37.01,13.0,5.24,6.11,1910.5,0.842,0.854,0.877,0.643,7.799,944.0,Gas Turbine,1972,DSYHS (Delft),Model tests,Parametric (NURBS),
CON_0103,Container,194.68,31.02,10.58,30.75,36744.5,0.639,0.594,0.947,0.692,12.223,19082.0,Gas Turbine,2011,Public spec,Model tests,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1543269, 1726991, 1910713, 2094436, 2278158, 2461881, 2645604]}"
RO-_0104,RO-RO,223.42,30.87,9.47,11.87,49318.9,0.839,0.854,0.925,0.896,8.805,48466.0,Nuclear,2016,ShipD (MIT),Calculated from geometry,STL,
TAN_0105,Tanker,270.91,35.42,9.36,26.52,46317.7,0.573,0.601,0.914,0.821,6.23,28636.0,Hybrid,1992,SIMMAN,Estimated,Mesh available (OBJ),
BUL_0106,Bulk carrier,260.95,37.09,16.21,26.5,72577.6,0.514,0.468,0.977,0.817,6.272,59229.0,Electric,1985,Public spec,Estimated,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3048259, 3411147, 3774035, 4136923, 4499811, 4862699, 5225587]}"
OTH_0107,Other,29.07,11.9,9.82,13.02,1920.0,0.628,0.588,0.871,0.717,6.056,27905.0,Diesel,1977,Open dataset,Design spec,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [80640, 90240, 99839, 109440, 119039, 128640, 138240]}"
FIS_0108,Fishing,40.15,11.86,2.68,3.56,722.4,0.629,0.709,0.893,0.893,6.643,131.0,Diesel,2024,SIMMAN,Design spec,IGES,
BUL_0109,Bulk carrier,290.21,63.48,23.79,24.69,289522.5,0.734,0.755,0.894,0.696,5.55,286729.0,Electric,2014,DSYHS (Delft),Estimated,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [12159945, 13607557, 15055169, 16502782, 17950394, 19398007, 20845620]}"
CRU_0110,Cruise ship,175.49,30.04,7.35,31.86,16076.2,0.461,0.483,0.905,0.857,10.395,20298.0,Diesel,1975,Public spec,Calculated from geometry,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [675200, 755581, 835962, 916343, 996724, 1077105, 1157486]}"
FIS_0111,Fishing,41.7,9.73,4.09,2.75,861.8,0.577,0.537,0.92,0.766,4.776,830.0,Electric,2005,MARIN paper,Design spec,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [36195, 40504, 44813, 49122, 53431, 57740, 62049]}"
RO-_0112,RO-RO,165.43,33.36,9.16,13.18,26024.0,0.572,0.543,0.99,0.672,10.127,32096.0,Diesel,1988,Public spec,Design spec,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1093008, 1223128, 1353247, 1483368, 1613487, 1743608, 1873728]}"
FER_0113,Ferry,68.78,17.87,5.43,8.02,3105.4,0.517,0.589,0.873,0.811,10.622,4880.0,Hybrid,2023,ShipD (MIT),Model tests,Mesh available (OBJ),
CON_0114,Container,384.56,50.38,9.38,16.85,111054.8,0.679,0.709,0.855,0.884,10.757,131962.0,Nuclear,1989,DSYHS (Delft),Calculated from geometry,None,
OFF_0115,Offshore supply,55.11,12.84,4.76,7.42,1612.7,0.532,0.561,0.897,0.83,7.411,5192.0,Diesel-electric,1995,Public spec,Measured,STL,
BUL_0116,Bulk carrier,187.01,39.92,12.28,15.45,40346.4,0.489,0.477,0.908,0.797,5.783,347469.0,Gas Turbine,1980,MARIN paper,Estimated,Parametric (NURBS),
TAN_0117,Tanker,259.58,44.71,16.48,17.71,79011.1,0.459,0.532,0.926,0.909,5.809,165273.0,Gas Turbine,1973,SIMMAN,Measured,IGES,
FER_0118,Ferry,130.5,32.03,4.87,11.06,13575.5,0.741,0.79,0.905,0.728,9.694,1637.0,Gas Turbine,2005,ShipD (MIT),Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [570171, 638048, 705925, 773803, 841680, 909558, 977436]}"
OFF_0119,Offshore supply,103.51,15.92,6.96,8.4,5140.5,0.498,0.575,0.909,0.854,6.191,5645.0,Diesel-electric,2018,DSYHS (Delft),Measured,STL,
RO-_0120,RO-RO,165.01,16.91,5.69,11.33,9130.8,0.639,0.648,0.941,0.765,8.215,37557.0,Nuclear,1980,MARIN paper,Estimated,STL,
NAV_0121,Naval combatant,145.8,17.1,6.94,13.63,9966.3,0.64,0.592,0.9,0.635,15.004,5999.0,Electric,2016,Open dataset,Model tests,STL,
OFF_0122,Offshore supply,68.59,21.18,6.89,7.89,4873.6,0.541,0.498,0.922,0.768,7.37,4692.0,Diesel-electric,1994,Open dataset,Design spec,Mesh available (OBJ),
OTH_0123,Other,285.5,9.95,1.85,11.47,2416.9,0.511,0.551,0.912,0.848,9.798,87288.0,Electric,2017,ShipD (MIT),Design spec,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [101509, 113594, 125678, 137763, 149847, 161932, 174016]}"
CRU_0124,Cruise ship,267.79,61.92,8.2,25.65,101935.8,0.833,0.843,0.93,0.775,10.651,26691.0,Electric,2013,Open dataset,Estimated,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4281303, 4790982, 5300661, 5810340, 6320019, 6829698, 7339377]}"
OFF_0125,Offshore supply,63.46,15.45,5.23,6.12,3872.0,0.839,0.828,0.893,0.666,7.321,2038.0,Hybrid,1992,Open dataset,Estimated,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [162624, 181984, 201343, 220704, 240063, 259424, 278784]}"
BUL_0126,Bulk carrier,240.43,43.53,22.33,18.68,123676.1,0.588,0.638,0.872,0.613,7.602,40821.0,Electric,1998,Public spec,Calculated from geometry,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [5194396, 5812776, 6431157, 7049537, 7667918, 8286298, 8904679]}"
CRU_0127,Cruise ship,323.87,32.85,8.41,24.07,39780.6,0.494,0.54,0.886,0.616,11.123,10641.0,Diesel,1984,ShipD (MIT),Calculated from geometry,None,
OFF_0128,Offshore supply,57.04,22.79,3.02,7.75,2904.3,0.822,0.825,0.99,0.881,6.618,1356.0,Gas Turbine,1988,Public spec,Model tests,Mesh available (OBJ),
OTH_0129,Other,85.02,38.24,17.23,4.01,41290.6,0.819,0.823,0.976,0.899,4.34,83628.0,Nuclear,2020,DSYHS (Delft),Estimated,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1734205, 1940658, 2147111, 2353564, 2560017, 2766470, 2972923]}"
CON_0130,Container,189.52,43.32,15.36,19.71,71728.9,0.632,0.665,0.929,0.885,8.852,105800.0,Diesel-electric,1987,ShipD (MIT),Estimated,Parametric (NURBS),
OFF_0131,Offshore supply,95.38,22.06,3.06,6.69,3291.4,0.568,0.606,0.879,0.796,7.116,2551.0,Hybrid,1997,Public spec,Model tests,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [138238, 154695, 171152, 187609, 204066, 220523, 236980]}"
BUL_0132,Bulk carrier,158.8,24.61,13.18,15.46,25682.1,0.554,0.535,0.963,0.905,5.921,291924.0,Gas Turbine,1970,Open dataset,Estimated,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1078648, 1207058, 1335469, 1463879, 1592290, 1720700, 1849111]}"
CON_0133,Container,300.34,37.55,8.44,27.78,70160.4,0.819,0.884,0.965,0.821,11.188,188720.0,Hybrid,1993,DSYHS (Delft),Design spec,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2946736, 3297538, 3648340, 3999142, 4349944, 4700746, 5051548]}"
OFF_0134,Offshore supply,60.72,22.47,5.42,7.08,4459.1,0.67,0.681,0.931,0.813,5.819,1635.0,Hybrid,2018,ShipD (MIT),Measured,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [187282, 209577, 231873, 254168, 276464, 298759, 321055]}"
FIS_0135,Fishing,60.74,5.09,4.04,2.37,752.0,0.669,0.685,0.936,0.648,5.804,525.0,Electric,1977,DSYHS (Delft),Measured,IGES,
BUL_0136,Bulk carrier,308.77,38.94,8.89,12.9,59259.2,0.616,0.639,0.934,0.815,5.937,18490.0,Diesel,1986,Open dataset,Design spec,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2488886, 2785182, 3081478, 3377774, 3674070, 3970366, 4266662]}"
BUL_0137,Bulk carrier,129.51,34.19,9.02,31.87,29619.6,0.824,0.783,0.99,0.61,6.196,309899.0,Electric,2019,Open dataset,Calculated from geometry,None,
RO-_0138,RO-RO,157.28,34.34,6.89,8.8,27999.0,0.836,0.9,0.87,0.875,7.568,59585.0,Hybrid,1995,DSYHS (Delft),Design spec,Mesh available (OBJ),
CON_0139,Container,393.55,37.45,13.47,21.75,107561.9,0.602,0.582,0.919,0.65,9.104,176289.0,Diesel,2018,ShipD (MIT),Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4517599, 5055409, 5593218, 6131028, 6668837, 7206647, 7744456]}"
CON_0140,Container,172.2,20.83,12.35,22.27,28665.6,0.719,0.782,0.887,0.614,10.264,112554.0,Diesel,2018,DSYHS (Delft),Measured,None,
CRU_0141,Cruise ship,321.32,51.26,7.8,28.97,83134.7,0.719,0.711,0.895,0.646,10.619,10526.0,Gas Turbine,1989,ShipD (MIT),Measured,STL,
TAN_0142,Tanker,290.24,40.51,16.43,34.31,143782.2,0.827,0.864,0.968,0.702,6.429,75655.0,Diesel-electric,1994,MARIN paper,Calculated from geometry,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [6038852, 6757763, 7476674, 8195585, 8914496, 9633407, 10352318]}"
CRU_0143,Cruise ship,213.15,50.3,9.01,33.72,58684.6,0.675,0.751,0.934,0.643,9.76,10083.0,Diesel,2011,SIMMAN,Estimated,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2464753, 2758176, 3051599, 3345022, 3638445, 3931868, 4225291]}"
FIS_0144,Fishing,62.1,6.67,2.71,6.04,698.1,0.691,0.755,0.878,0.844,7.842,563.0,Diesel-electric,2000,Public spec,Estimated,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [29320, 32810, 36301, 39791, 43282, 46772, 50263]}"
CRU_0145,Cruise ship,346.8,60.48,7.29,34.99,88347.8,0.642,0.624,0.941,0.665,11.143,18801.0,Gas Turbine,2019,SIMMAN,Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3710607, 4152346, 4594085, 5035824, 5477563, 5919302, 6361041]}"
NAV_0146,Naval combatant,123.93,15.6,9.3,12.66,12476.2,0.771,0.815,0.964,0.702,13.906,6067.0,Hybrid,1972,DSYHS (Delft),Design spec,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [524000, 586381, 648762, 711143, 773524, 835905, 898286]}"
FER_0147,Ferry,133.0,25.18,6.46,6.36,10280.5,0.528,0.508,0.935,0.679,9.573,7553.0,Gas Turbine,1991,SIMMAN,Calculated from geometry,IGES,
TAN_0148,Tanker,315.87,36.9,10.38,23.66,57056.6,0.524,0.59,0.999,0.906,6.762,379190.0,Electric,1974,ShipD (MIT),Model tests,IGES,
TAN_0149,Tanker,342.21,31.11,20.02,10.23,125068.2,0.652,0.651,0.943,0.813,7.047,222609.0,Diesel,2001,ShipD (MIT),Measured,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [5252864, 5878205, 6503546, 7128887, 7754228, 8379569, 9004910]}"
RO-_0150,RO-RO,91.78,26.59,6.37,17.77,6393.9,0.457,0.513,0.951,0.858,10.01,8206.0,Hybrid,1976,DSYHS (Delft),Design spec,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [268543, 300513, 332482, 364452, 396421, 428391, 460360]}"
OTH_0151,Other,167.41,41.68,6.45,13.72,24262.6,0.599,0.602,0.935,0.917,5.51,68419.0,Diesel,2024,Open dataset,Model tests,Mesh available (OBJ),
RO-_0152,RO-RO,146.89,27.05,5.28,8.09,9799.5,0.519,0.534,0.915,0.851,8.949,51761.0,Hybrid,1976,ShipD (MIT),Design spec,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [411579, 460576, 509573, 558571, 607568, 656566, 705564]}"
OTH_0153,Other,153.14,7.1,2.88,27.99,2282.8,0.81,0.833,0.855,0.897,6.057,96148.0,Diesel-electric,2007,Open dataset,Calculated from geometry,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [95877, 107291, 118705, 130119, 141533, 152947, 164361]}"
FER_0154,Ferry,74.37,16.25,7.09,7.11,6238.6,0.809,0.802,0.963,0.645,12.276,5820.0,Electric,2002,Public spec,Model tests,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [262021, 293214, 324407, 355600, 386793, 417986, 449179]}"
RO-_0155,RO-RO,124.82,17.52,8.03,14.14,10873.4,0.688,0.764,0.899,0.803,9.621,28131.0,Gas Turbine,1984,MARIN paper,Calculated from geometry,IGES,
TAN_0156,Tanker,303.13,51.71,9.46,25.47,102627.4,0.769,0.812,0.862,0.649,7.341,288916.0,Nuclear,2017,Public spec,Estimated,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4310350, 4823487, 5336624, 5849761, 6362898, 6876035, 7389172]}"
BUL_0157,Bulk carrier,121.09,32.49,13.76,15.93,24506.8,0.503,0.477,0.917,0.778,6.194,20242.0,Hybrid,1992,ShipD (MIT),Measured,STL,
NAV_0158,Naval combatant,185.01,12.12,6.48,15.79,9677.1,0.74,0.763,0.999,0.678,15.542,10909.0,Diesel-electric,1980,Public spec,Estimated,None,
OFF_0159,Offshore supply,60.22,14.34,4.1,6.5,2431.3,0.763,0.76,0.992,0.831,6.675,3776.0,Diesel,1999,DSYHS (Delft),Estimated,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [102114, 114271, 126427, 138584, 150740, 162897, 175053]}"
RO-_0160,RO-RO,139.83,28.4,9.02,11.3,18827.0,0.584,0.64,0.979,0.912,7.622,20598.0,Diesel-electric,2014,SIMMAN,Estimated,Parametric (NURBS),
RO-_0161,RO-RO,235.31,21.83,8.47,12.91,26627.4,0.68,0.662,0.906,0.861,8.415,8605.0,Diesel-electric,2006,MARIN paper,Measured,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1118350, 1251487, 1384624, 1517761, 1650898, 1784035, 1917172]}"
FIS_0162,Fishing,16.75,14.18,5.74,3.26,943.6,0.769,0.827,0.86,0.871,8.206,676.0,Electric,1978,Public spec,Design spec,None,
TAN_0163,Tanker,311.66,57.88,9.26,34.77,96515.7,0.642,0.644,0.926,0.895,7.28,249203.0,Gas Turbine,2020,Open dataset,Measured,STL,
BUL_0164,Bulk carrier,142.97,29.67,18.64,13.66,49457.9,0.695,0.718,0.947,0.807,7.631,139322.0,Nuclear,2020,ShipD (MIT),Model tests,Mesh available (OBJ),
FER_0165,Ferry,83.3,29.42,5.57,9.5,6609.5,0.538,0.537,0.919,0.817,10.436,1290.0,Nuclear,1971,ShipD (MIT),Estimated,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [277599, 310646, 343693, 376741, 409788, 442836, 475884]}"
BUL_0166,Bulk carrier,144.37,62.21,10.27,16.86,52464.7,0.632,0.609,0.922,0.752,6.271,281737.0,Diesel,1990,Public spec,Model tests,Mesh available (OBJ),
CON_0167,Container,354.75,45.21,13.09,15.78,159470.9,0.844,0.826,0.876,0.651,10.823,192107.0,Nuclear,1984,Open dataset,Design spec,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [6697777, 7495132, 8292486, 9089841, 9887195, 10684550, 11481904]}"
RO-_0168,RO-RO,149.34,30.75,9.42,12.5,24216.1,0.622,0.573,0.882,0.689,9.374,48168.0,Diesel,2006,MARIN paper,Design spec,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1017076, 1138156, 1259237, 1380317, 1501398, 1622478, 1743559]}"
NAV_0169,Naval combatant,111.68,13.14,8.02,12.89,8855.1,0.836,0.827,0.908,0.726,13.449,6575.0,Hybrid,1999,DSYHS (Delft),Estimated,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [371914, 416189, 460465, 504740, 549016, 593291, 637567]}"
OTH_0170,Other,43.73,11.03,3.68,11.25,835.5,0.523,0.563,0.927,0.734,4.967,38401.0,Nuclear,1981,Open dataset,Measured,Parametric (NURBS),
FIS_0171,Fishing,25.85,8.04,2.34,7.05,305.5,0.698,0.761,0.993,0.755,5.119,390.0,Hybrid,2005,Open dataset,Calculated from geometry,IGES,
OFF_0172,Offshore supply,79.09,23.76,4.95,5.41,3867.7,0.462,0.511,0.894,0.688,6.804,1175.0,Hybrid,1999,Open dataset,Calculated from geometry,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [162443, 181781, 201120, 220458, 239797, 259135, 278474]}"
FIS_0173,Fishing,22.36,5.6,4.99,6.94,335.7,0.597,0.654,0.856,0.83,6.926,989.0,Electric,1976,Open dataset,Design spec,None,
CON_0174,Container,234.92,32.64,14.35,22.1,83977.0,0.848,0.899,0.886,0.859,10.953,76619.0,Hybrid,2015,Open dataset,Calculated from geometry,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [3527034, 3946919, 4366804, 4786689, 5206573, 5626459, 6046344]}"
OTH_0175,Other,58.99,14.3,5.33,4.6,2387.5,0.59,0.577,0.931,0.704,8.462,28968.0,Hybrid,1987,Open dataset,Model tests,Parametric (NURBS),
RO-_0176,RO-RO,227.82,35.85,9.34,9.27,54649.2,0.796,0.778,0.957,0.865,9.553,41221.0,Diesel-electric,2001,MARIN paper,Estimated,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [2295266, 2568512, 2841758, 3115004, 3388250, 3661496, 3934742]}"
RO-_0177,RO-RO,157.8,28.67,9.4,8.93,25107.8,0.656,0.642,0.99,0.718,10.135,20982.0,Electric,1970,ShipD (MIT),Calculated from geometry,None,
BUL_0178,Bulk carrier,287.09,36.69,23.49,28.15,144300.0,0.648,0.64,0.893,0.775,5.48,342444.0,Gas Turbine,2020,Open dataset,Model tests,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [6060600, 6782100, 7503599, 8225100, 8946599, 9668100, 10389600]}"
BUL_0179,Bulk carrier,251.5,57.33,8.26,30.45,54987.0,0.513,0.522,0.999,0.737,7.706,364668.0,Gas Turbine,2011,DSYHS (Delft),Estimated,Mesh available (OBJ),
NAV_0180,Naval combatant,117.54,15.72,9.42,9.66,9540.0,0.609,0.599,0.955,0.675,16.233,11148.0,Diesel-electric,1970,SIMMAN,Model tests,Parametric (NURBS),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [400680, 448380, 496079, 543780, 591479, 639180, 686880]}"
OTH_0181,Other,83.33,35.6,1.67,21.78,3464.4,0.777,0.855,0.913,0.642,4.553,38337.0,Diesel,2016,ShipD (MIT),Estimated,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [145504, 162826, 180148, 197470, 214792, 232114, 249436]}"
FER_0182,Ferry,70.57,30.11,6.64,5.07,10755.4,0.847,0.816,0.93,0.603,10.186,3576.0,Diesel-electric,2016,Open dataset,Design spec,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [451726, 505503, 559280, 613057, 666834, 720611, 774388]}"
OTH_0183,Other,212.24,43.7,3.1,5.71,19433.6,0.751,0.778,0.908,0.908,6.057,14026.0,Electric,1987,ShipD (MIT),Design spec,STL,
OTH_0184,Other,188.0,32.34,15.91,21.64,68689.1,0.789,0.825,0.895,0.766,7.261,74796.0,Electric,1988,ShipD (MIT),Design spec,IGES,
RO-_0185,RO-RO,106.91,25.99,7.97,13.28,16761.8,0.841,0.919,0.99,0.642,9.859,34966.0,Hybrid,1993,Open dataset,Design spec,IGES,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [703995, 787804, 871613, 955422, 1039231, 1123040, 1206849]}"
BUL_0186,Bulk carrier,123.5,21.17,12.19,10.88,13596.0,0.474,0.527,0.926,0.801,6.433,172018.0,Nuclear,2014,ShipD (MIT),Measured,STL,
OTH_0187,Other,62.75,8.76,2.96,27.86,1230.1,0.84,0.81,0.899,0.788,8.827,65001.0,Diesel,2011,Public spec,Calculated from geometry,Parametric (NURBS),
CON_0188,Container,173.34,56.83,8.04,26.08,33644.7,0.472,0.509,0.949,0.656,8.29,36070.0,Diesel-electric,1970,SIMMAN,Estimated,STL,
FIS_0189,Fishing,65.89,14.09,2.25,2.76,1432.6,0.762,0.747,0.983,0.847,4.267,809.0,Hybrid,1987,ShipD (MIT),Estimated,STL,
BUL_0190,Bulk carrier,224.19,42.01,8.89,28.91,38958.6,0.517,0.487,0.966,0.886,6.878,54980.0,Hybrid,2017,ShipD (MIT),Model tests,Mesh available (OBJ),"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1636261, 1831054, 2025847, 2220640, 2415433, 2610226, 2805019]}"
CRU_0191,Cruise ship,159.66,36.56,9.3,22.68,40746.8,0.834,0.789,0.97,0.828,10.609,10612.0,Nuclear,1985,Open dataset,Estimated,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1711365, 1915099, 2118833, 2322567, 2526301, 2730035, 2933769]}"
BUL_0192,Bulk carrier,240.02,23.61,18.77,11.16,51598.7,0.539,0.556,0.857,0.728,7.4,347752.0,Gas Turbine,2019,Public spec,Model tests,STL,
OFF_0193,Offshore supply,50.56,14.81,5.26,6.52,2477.8,0.699,0.709,0.939,0.758,7.529,1333.0,Diesel-electric,2004,DSYHS (Delft),Model tests,IGES,
CON_0194,Container,169.9,32.55,14.56,32.18,60148.7,0.83,0.78,0.949,0.872,11.598,29750.0,Diesel-electric,2003,SIMMAN,Calculated from geometry,Mesh available (OBJ),
TAN_0195,Tanker,310.8,24.47,23.66,32.43,106561.0,0.658,0.699,0.906,0.912,5.407,52053.0,Electric,1978,SIMMAN,Model tests,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [4475562, 5008367, 5541171, 6073977, 6606781, 7139587, 7672392]}"
OTH_0196,Other,37.44,34.81,3.92,10.88,3632.4,0.79,0.86,0.909,0.866,6.13,45303.0,Diesel,1984,DSYHS (Delft),Design spec,STL,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [152560, 170722, 188884, 207046, 225208, 243370, 261532]}"
BUL_0197,Bulk carrier,152.64,25.73,15.46,18.94,36285.1,0.664,0.739,0.881,0.699,5.826,56766.0,Electric,1980,Public spec,Measured,Mesh available (OBJ),
CRU_0198,Cruise ship,325.54,35.11,7.23,23.72,44028.9,0.592,0.609,0.952,0.683,11.299,5777.0,Nuclear,1995,MARIN paper,Measured,Parametric (NURBS),
BUL_0199,Bulk carrier,217.03,55.78,10.24,10.26,87246.4,0.782,0.86,0.87,0.864,6.102,255816.0,Diesel,2011,MARIN paper,Measured,None,
BUL_0200,Bulk carrier,124.58,21.03,22.44,19.76,26561.7,0.502,0.57,0.974,0.706,5.254,189788.0,Hybrid,1980,SIMMAN,Calculated from geometry,IGES,
CON_0201,Container,214.82,35.92,10.19,32.89,39629.2,0.56,0.568,0.872,0.797,11.088,132982.0,Nuclear,2001,MARIN paper,Calculated from geometry,Mesh available (OBJ),
BUL_0202,Bulk carrier,178.75,24.45,11.19,29.46,29049.7,0.66,0.692,0.97,0.854,7.689,314947.0,Nuclear,1992,MARIN paper,Calculated from geometry,None,"{""Fn"": [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35], ""Resistance_N"": [1220087, 1365335, 1510584, 1655832, 1801081, 1946329, 2091578]}"
